,location,date,total_cases,new_cases,total_deaths,new_deaths
150024,World,2020-01-22,557.0,0.0,17.0,0.0
150025,World,2020-01-23,655.0,98.0,18.0,1.0
150026,World,2020-01-24,941.0,286.0,26.0,8.0
150027,World,2020-01-25,1434.0,493.0,42.0,16.0
150028,World,2020-01-26,2118.0,684.0,56.0,14.0
150029,World,2020-01-27,2927.0,809.0,82.0,26.0
150030,World,2020-01-28,5578.0,2651.0,131.0,49.0
150031,World,2020-01-29,6167.0,589.0,133.0,2.0
150032,World,2020-01-30,8235.0,2068.0,171.0,38.0
150033,World,2020-01-31,9927.0,1692.0,213.0,42.0
150034,World,2020-02-01,12038.0,2111.0,259.0,46.0
150035,World,2020-02-02,16787.0,4749.0,362.0,103.0
150036,World,2020-02-03,19887.0,3100.0,426.0,64.0
150037,World,2020-02-04,23898.0,4011.0,492.0,66.0
150038,World,2020-02-05,27643.0,3745.0,564.0,72.0
150039,World,2020-02-06,30805.0,3162.0,634.0,70.0
150040,World,2020-02-07,34399.0,3594.0,719.0,85.0
150041,World,2020-02-08,37130.0,2731.0,806.0,87.0
150042,World,2020-02-09,40161.0,3031.0,906.0,100.0
150043,World,2020-02-10,42769.0,2608.0,1013.0,107.0
150044,World,2020-02-11,44811.0,2042.0,1113.0,100.0
150045,World,2020-02-12,45229.0,418.0,1118.0,5.0
150046,World,2020-02-13,60381.0,15152.0,1371.0,253.0
150047,World,2020-02-14,66909.0,6528.0,1523.0,152.0
150048,World,2020-02-15,69052.0,2143.0,1666.0,143.0
150049,World,2020-02-16,71235.0,2183.0,1770.0,104.0
150050,World,2020-02-17,73270.0,2035.0,1868.0,98.0
150051,World,2020-02-18,75152.0,1882.0,2008.0,140.0
150052,World,2020-02-19,75652.0,500.0,2123.0,115.0
150053,World,2020-02-20,76212.0,560.0,2248.0,125.0
150054,World,2020-02-21,76841.0,629.0,2252.0,4.0
150055,World,2020-02-22,78602.0,1761.0,2459.0,207.0
150056,World,2020-02-23,78982.0,380.0,2470.0,11.0
150057,World,2020-02-24,79550.0,568.0,2630.0,160.0
150058,World,2020-02-25,80404.0,854.0,2710.0,80.0
150059,World,2020-02-26,81381.0,977.0,2771.0,61.0
150060,World,2020-02-27,82740.0,1359.0,2814.0,43.0
150061,World,2020-02-28,84128.0,1388.0,2873.0,59.0
150062,World,2020-02-29,86022.0,1894.0,2943.0,70.0
150063,World,2020-03-01,88400.0,2378.0,2997.0,54.0
150064,World,2020-03-02,90379.0,1979.0,3086.0,89.0
150065,World,2020-03-03,92980.0,2601.0,3160.0,74.0
150066,World,2020-03-04,95282.0,2302.0,3255.0,95.0
150067,World,2020-03-05,98100.0,2818.0,3348.0,93.0
150068,World,2020-03-06,102016.0,3916.0,3461.0,113.0
150069,World,2020-03-07,106113.0,4097.0,3565.0,104.0
150070,World,2020-03-08,110051.0,3938.0,3805.0,240.0
150071,World,2020-03-09,114232.0,4181.0,3995.0,190.0
150072,World,2020-03-10,119055.0,4823.0,4271.0,276.0
150073,World,2020-03-11,126714.0,7659.0,4616.0,345.0
150074,World,2020-03-12,132513.0,5799.0,4925.0,309.0
150075,World,2020-03-13,146864.0,14351.0,5417.0,492.0
150076,World,2020-03-14,157962.0,11098.0,5838.0,421.0
150077,World,2020-03-15,169241.0,11279.0,6483.0,645.0
150078,World,2020-03-16,184034.0,14793.0,7175.0,692.0
150079,World,2020-03-17,200039.0,16005.0,7990.0,815.0
150080,World,2020-03-18,219585.0,19546.0,8906.0,916.0
150081,World,2020-03-19,246683.0,27098.0,10022.0,1116.0
150082,World,2020-03-20,277564.0,30881.0,11518.0,1496.0
150083,World,2020-03-21,309679.0,32115.0,13241.0,1723.0
150084,World,2020-03-22,344821.0,35142.0,14927.0,1686.0
150085,World,2020-03-23,387488.0,42667.0,16885.0,1958.0
150086,World,2020-03-24,428574.0,41086.0,19195.0,2310.0
150087,World,2020-03-25,479663.0,51089.0,22019.0,2824.0
150088,World,2020-03-26,542525.0,62862.0,25059.0,3040.0
150089,World,2020-03-27,607435.0,64910.0,28544.0,3485.0
150090,World,2020-03-28,677100.0,69665.0,32380.0,3836.0
150091,World,2020-03-29,734000.0,56900.0,35857.0,3477.0
150092,World,2020-03-30,799279.0,65279.0,39938.0,4081.0
150093,World,2020-03-31,876098.0,76819.0,44670.0,4732.0
150094,World,2020-04-01,959012.0,82914.0,50684.0,6014.0
150095,World,2020-04-02,1041923.0,82911.0,56576.0,5892.0
150096,World,2020-04-03,1126238.0,84315.0,62754.0,6178.0
150097,World,2020-04-04,1185171.0,58933.0,68734.0,5980.0
150098,World,2020-04-05,1256277.0,70260.0,73977.0,5243.0
150099,World,2020-04-06,1330151.0,73874.0,79912.0,5935.0
150100,World,2020-04-07,1399552.0,69401.0,88222.0,8310.0
150101,World,2020-04-08,1482909.0,83357.0,95052.0,6830.0
150102,World,2020-04-09,1570264.0,87355.0,102921.0,7869.0
150103,World,2020-04-10,1655623.0,85359.0,110337.0,7416.0
150104,World,2020-04-11,1730100.0,74477.0,116623.0,6286.0
150105,World,2020-04-12,1849635.0,119535.0,122563.0,5940.0
150106,World,2020-04-13,1920621.0,70986.0,128582.0,6019.0
150107,World,2020-04-14,2004469.0,83848.0,135687.0,7105.0
150108,World,2020-04-15,2082629.0,78160.0,144231.0,8544.0
150109,World,2020-04-16,2178015.0,95386.0,151650.0,7419.0
