,location,date,total_cases,new_cases,total_deaths,new_deaths
79627,World,2020-01-22,557.0,0.0,17.0,0.0
79628,World,2020-01-23,655.0,98.0,18.0,1.0
79629,World,2020-01-24,941.0,286.0,26.0,8.0
79630,World,2020-01-25,1433.0,492.0,42.0,16.0
79631,World,2020-01-26,2118.0,685.0,56.0,14.0
79632,World,2020-01-27,2927.0,809.0,82.0,26.0
79633,World,2020-01-28,5578.0,2651.0,131.0,49.0
79634,World,2020-01-29,6167.0,589.0,133.0,2.0
79635,World,2020-01-30,8235.0,2068.0,171.0,38.0
79636,World,2020-01-31,9927.0,1692.0,213.0,42.0
79637,World,2020-02-01,12038.0,2111.0,259.0,46.0
79638,World,2020-02-02,16787.0,4749.0,362.0,103.0
79639,World,2020-02-03,19887.0,3100.0,426.0,64.0
79640,World,2020-02-04,23898.0,4011.0,492.0,66.0
79641,World,2020-02-05,27643.0,3745.0,564.0,72.0
79642,World,2020-02-06,30803.0,3160.0,634.0,70.0
79643,World,2020-02-07,34396.0,3593.0,719.0,85.0
79644,World,2020-02-08,37130.0,2734.0,806.0,87.0
79645,World,2020-02-09,40160.0,3030.0,906.0,100.0
79646,World,2020-02-10,42769.0,2609.0,1013.0,107.0
79647,World,2020-02-11,44811.0,2042.0,1113.0,100.0
79648,World,2020-02-12,45229.0,418.0,1118.0,5.0
79649,World,2020-02-13,60382.0,15153.0,1371.0,253.0
79650,World,2020-02-14,66909.0,6527.0,1523.0,152.0
79651,World,2020-02-15,69052.0,2143.0,1666.0,143.0
79652,World,2020-02-16,71235.0,2183.0,1770.0,104.0
79653,World,2020-02-17,73270.0,2035.0,1868.0,98.0
79654,World,2020-02-18,75152.0,1882.0,2008.0,140.0
79655,World,2020-02-19,75652.0,500.0,2123.0,115.0
79656,World,2020-02-20,76212.0,560.0,2248.0,125.0
79657,World,2020-02-21,76841.0,629.0,2252.0,4.0
79658,World,2020-02-22,78602.0,1761.0,2459.0,207.0
79659,World,2020-02-23,78982.0,380.0,2470.0,11.0
79660,World,2020-02-24,79546.0,564.0,2630.0,160.0
79661,World,2020-02-25,80399.0,853.0,2710.0,80.0
79662,World,2020-02-26,81376.0,977.0,2771.0,61.0
79663,World,2020-02-27,82736.0,1360.0,2814.0,43.0
79664,World,2020-02-28,84122.0,1386.0,2873.0,59.0
79665,World,2020-02-29,86013.0,1891.0,2942.0,69.0
79666,World,2020-03-01,88394.0,2381.0,2996.0,54.0
79667,World,2020-03-02,90377.0,1983.0,3085.0,89.0
